year,state,State CPI
1989,District of Columbia,4.774136045840534
1990,District of Columbia,4.352616145989865
1991,District of Columbia,2.625045022
1992,District of Columbia,1.834760537772368
1993,District of Columbia,3.4629500236456017
1994,District of Columbia,2.0271367350410325
1995,District of Columbia,1.407811861304041
1996,District of Columbia,1.7080140717416084
1997,District of Columbia,0.8885898679151191
1998,District of Columbia,0.1796327914264186
1999,District of Columbia,1.2489334481651082
2000,District of Columbia,2.794990444007873
2001,District of Columbia,2.1537853134504834
2002,District of Columbia,1.6017319525473277
2003,District of Columbia,2.947417607155878
2004,District of Columbia,2.3048501342702528
2005,District of Columbia,2.369625558429369
2006,District of Columbia,3.447313164123449
2007,District of Columbia,3.303877159417707
2008,District of Columbia,3.997134808779544
2009,District of Columbia,0.443655908
2010,District of Columbia,3.2055874477110105
2011,District of Columbia,2.714175892755915
2012,District of Columbia,2.5272307986625373
2013,District of Columbia,1.4600388532384931
2014,District of Columbia,0.813273359
2015,District of Columbia,1.0
2016,District of Columbia,0.839325235
2017,District of Columbia,0.1202080439352702
1978,FL,8.602042721
1979,FL,7.374622394039741
1980,FL,7.136798572815472
1981,FL,7.548330195067526
1982,FL,4.8476093952479875
1983,FL,3.084548104571996
1984,FL,2.9556220672341627
1985,FL,2.1795782893310935
1986,FL,1.0
1989,FL,3.8291329485042183
1990,FL,3.837089034524705
1991,FL,2.6722052200231383
1992,FL,1.4634694032544249
1993,FL,2.052811303442053
1994,FL,1.9848503109046125
1995,FL,2.6360349234250027
1996,FL,2.5003557215196097
1997,FL,1.711716385562077
1998,FL,0.7723012665916057
1999,FL,1.620512600244313
2000,FL,2.6412460761597556
2001,FL,2.9844137530135137
2002,FL,2.312880225788193
2003,FL,3.0517776708204822
2004,FL,1.7883081499546278
2005,FL,2.9367808687958488
2006,FL,3.204578747220458
2007,FL,1.783808805770248
2008,FL,3.5983826550717053
2009,FL,1.0
2010,FL,2.0394385372057333
2011,FL,3.4870835607513926
2012,FL,2.257922587027956
2013,FL,1.3542411394894198
2014,FL,2.014755145244033
2015,FL,0.3708259223817169
2016,FL,0.9356891430989251
2017,FL,2.2544510966397597
1978,GA,4.744737325032537
1979,GA,7.389550731425293
1980,GA,9.369551236763268
1981,GA,6.840235464
1982,GA,3.5290370289777084
1983,GA,2.3731331518360785
1984,GA,3.084830089433477
1985,GA,2.847952655967412
1986,GA,0.5287122327818742
1989,GA,4.955583889889172
1990,GA,5.090102284634368
1991,GA,2.2727369060946883
1992,GA,1.817290474713242
1993,GA,2.271783317944936
1994,GA,1.856267274644432
1995,GA,2.7980789235947534
1996,GA,3.636594803587071
1997,GA,1.787805521928289
1998,GA,0.8047325826552725
1999,GA,2.050315744382882
2000,GA,2.929480063329845
2001,GA,3.0014958963943443
2002,GA,1.3382133119636532
2003,GA,1.7300441408215983
2004,GA,1.5053632574799758
2005,GA,2.9584181627149055
2006,GA,2.0966354682041035
2007,GA,1.5281534521301965
2008,GA,3.1467499284455274
2009,GA,1.0
2010,GA,2.1483456719078307
2011,GA,3.691694081464176
2012,GA,1.303011665443345
2013,GA,0.608630513
2014,GA,1.6523728055504332
2015,GA,0.8385548095844308
2016,GA,1.1325511628191212
2017,GA,1.9392777591444184
1978,HI,6.715586741944643
1979,HI,7.116289785
1980,HI,7.279077608470969
1981,HI,6.942926946652151
1982,HI,4.741264482151996
1983,HI,2.3487158115912505
1984,HI,2.633408901
1985,HI,2.474644716100775
1986,HI,1.9642438062080343
1989,HI,4.545644442818321
1990,HI,5.457807492290166
1991,HI,3.950985564627072
1992,HI,2.939322898403119
1993,HI,3.807518891206614
1994,HI,1.7960405055554514
1995,HI,2.0801493678233975
1996,HI,1.2903310348771742
1997,HI,1.0
1998,HI,1.0
1999,HI,0.9410045768040826
2000,HI,1.6769018627188856
2001,HI,0.6489020377499012
2002,HI,0.5278036196391763
2003,HI,2.0765064217217186
2004,HI,3.2976190133886503
2005,HI,2.6959025546915982
2006,HI,4.058512516112477
2007,HI,3.1599348902428694
2008,HI,5.269629175742362
2009,HI,0.9505105444642704
2010,HI,3.8039334147356274
2011,HI,5.142225407961515
2012,HI,1.0
2013,HI,1.0
2014,HI,1.7963256283861633
2015,HI,0.8559981767374326
2016,HI,1.0
2017,HI,1.0
1978,IL,4.807938626
1979,IL,7.4366440952060096
1980,IL,8.119857781847388
1981,IL,6.780884641717191
1982,IL,3.058794219049955
1983,IL,2.190624074
1984,IL,2.206693773047159
1985,IL,2.2558139721017527
1986,IL,1.253112423904878
1989,IL,4.436203426130836
1990,IL,3.325823073
1991,IL,3.689448993990293
1992,IL,1.8801394135090703
1993,IL,2.3635464517672173
1994,IL,1.0
1995,IL,3.552780694473042
1996,IL,2.0160335510527876
1997,IL,1.8479396070634164
1998,IL,1.023868442342707
1999,IL,1.7705203685090791
2000,IL,3.0490040716340716
2001,IL,1.631094178
2002,IL,1.6751666483011498
2003,IL,2.1043707091111044
2004,IL,1.4499276196040627
2005,IL,2.419127411599869
2006,IL,2.0749208846218226
2007,IL,3.7830354037630296
2008,IL,3.3851720305007356
2009,IL,0.7396366845922294
2010,IL,2.840126101434612
2011,IL,2.4626276190893233
2012,IL,1.6334809279393645
2013,IL,1.1689761094377993
2014,IL,1.5460240913611405
2015,IL,1.0
2016,IL,0.6516364726574156
2017,IL,0.4940874023146416
1989,IN,4.206391774884293
1990,IN,2.663304906243765
1991,IN,2.705600414637138
1992,IN,1.096431731602495
1993,IN,1.9057116952449604
1994,IN,0.9063919968287972
1995,IN,2.6650129901942554
1996,IN,2.290603749340559
1997,IN,2.3650944204766073
1998,IN,1.972972043
1999,IN,1.2919449910386915
2000,IN,3.377258645848654
2001,IN,3.3975119737239137
2002,IN,1.8852297529887247
2003,IN,2.7891971092132772
2004,IN,2.2291002139307436
2005,IN,2.4492054159461287
2006,IN,2.1132935012711305
2007,IN,2.7315043964228196
2008,IN,4.418403151096212
2009,IN,0.7107411629529876
2010,IN,2.108428546
2011,IN,4.1195774052254315
2012,IN,2.0261893735084353
2013,IN,1.778864621089806
2014,IN,1.8548540427262128
2015,IN,0.6723516052836096
2016,IN,1.411799123447298
2017,IN,2.586975301471767
1989,KS,3.4181195605817716
1990,KS,3.8535649058628345
1991,KS,4.158526328549411
1992,KS,2.261644923028834
1993,KS,3.1495452246522624
1994,KS,1.3855343405679996
1995,KS,2.4855993629162443
1996,KS,1.9756591352815944
1997,KS,1.5040883751825107
1998,KS,1.0
1999,KS,1.8269889264122317
2000,KS,3.3105533315114544
2001,KS,3.4079802430602686
2002,KS,1.893873559935368
2003,KS,3.3095049745552685
2004,KS,1.764101380332019
2005,KS,2.4371830472213336
2006,KS,2.501344857779559
2007,KS,2.033109401603143
2008,KS,3.874209442176445
2009,KS,1.0
2010,KS,3.0140761106108256
2011,KS,4.696983024045881
2012,KS,1.644232894
2013,KS,2.495194022975864
2014,KS,0.2585775261927294
2015,KS,2.7163805555222797
2016,KS,0.5148591105723923
2017,KS,1.0
1989,LA,3.4024583085793925
1990,LA,2.6372948867309134
1991,LA,3.3801957313788877
1992,LA,1.6543326118913817
1993,LA,2.1408866007122125
1994,LA,1.3904180923537637
1995,LA,2.229555020864621
1996,LA,3.659370079637077
1997,LA,2.2115116219385285
1998,LA,0.4299657031971816
1999,LA,2.120804176
2000,LA,2.997060096173179
2001,LA,2.298110899819336
2002,LA,1.097117685527956
2003,LA,2.0469836998770803
2004,LA,1.783799937189266
2005,LA,2.3496638067449727
2006,LA,1.6173654809434883
2007,LA,1.1105546729758202
2008,LA,3.561002840710151
2009,LA,0.8646956419192219
2010,LA,3.464093303431956
2011,LA,3.248773280311095
2012,LA,2.6447302503961554
2013,LA,1.2713917939890935
2014,LA,2.4184600145812327
2015,LA,2.7496905476279982
2016,LA,2.444737799
2017,LA,0.9068454837402534
1978,MD,1.0
1979,MD,5.542406380144024
1980,MD,9.961555483491107
1981,MD,6.542254181142084
1982,MD,5.078126320467187
1983,MD,4.029970688516389
1984,MD,3.0924486684671617
1985,MD,2.232892912556206
1986,MD,2.951063057454675
1989,MD,3.390006949393765
1990,MD,3.744306190236056
1991,MD,3.8566053192433976
1992,MD,2.201036419900534
1993,MD,1.6132561312032985
1994,MD,1.7427798170190203
1995,MD,2.4937637108344135
1996,MD,1.9961028648812664
1997,MD,1.0764941953933862
1998,MD,1.6362976902279818
1999,MD,2.012262136343102
2000,MD,1.821136827756245
2001,MD,1.8548895638130316
2002,MD,1.8178857840772735
2003,MD,2.615429348409403
2004,MD,2.3434071458573857
2005,MD,3.772868629942327
2006,MD,3.517985519069215
2007,MD,3.707390840797605
2008,MD,6.129255087586667
2009,MD,0.8338030343321703
2010,MD,1.7169590849571912
2011,MD,3.8698100404356137
2012,MD,2.070444807169921
2013,MD,1.0
2014,MD,1.0
2015,MD,1.0
2016,MD,2.089431297932605
2017,MD,1.702424408743427
1978,MA,3.1732744903532826
1979,MA,6.516216556
1980,MA,8.158063328
1981,MA,4.826485496959352
1982,MA,1.719777372375309
1983,MA,1.0
1984,MA,3.099229471314138
1985,MA,2.107668959889105
1986,MA,3.0511147397729466
1989,MA,6.150278713772643
1990,MA,5.238231669614059
1991,MA,5.273982663489515
1992,MA,3.102215276
1993,MA,2.533715021690586
1994,MA,2.504844497693307
1995,MA,1.6758863736053105
1996,MA,1.709083695118147
1997,MA,1.8827675305493456
1998,MA,0.6244529675858621
1999,MA,1.6418412486396472
2000,MA,3.3116300057841506
2001,MA,3.463714665146539
2002,MA,1.0
2003,MA,2.5091361798475456
2004,MA,3.1271671
2005,MA,3.145132383518762
2006,MA,3.878052717590382
2007,MA,2.0226664086430284
2008,MA,4.469853687834468
2009,MA,1.0
2010,MA,3.1175241064902446
2011,MA,3.6699168250563847
2012,MA,1.286542729938606
2013,MA,1.4971420837010707
2014,MA,1.7495376876815594
2015,MA,1.113652553998243
2016,MA,1.0
2017,MA,2.565699422779556
1978,MI,6.469171546902576
1979,MI,7.369772308321105
1980,MI,9.163572847954551
1981,MI,7.841648348848146
1982,MI,3.852615899017095
1983,MI,1.041348418351112
1984,MI,1.6509649267162567
1985,MI,2.169745344
1986,MI,1.1728527335371857
1989,MI,3.789852181524174
1990,MI,3.963277443836009
1991,MI,4.145755879396281
1992,MI,2.5560430622308146
1993,MI,1.7625688356882594
1994,MI,3.3675677973104636
1995,MI,2.510562212393087
1996,MI,2.3868197082272347
1997,MI,1.675792949
1998,MI,1.4255185028920838
1999,MI,2.6444281016319864
2000,MI,3.1630967546136097
2001,MI,3.1114709328665686
2002,MI,2.965326334472638
2003,MI,3.3183703068420303
2004,MI,3.078249437412434
2005,MI,3.4682334275573448
2006,MI,3.061396350450876
2007,MI,0.4005569860843949
2008,MI,2.0814409021335685
2009,MI,1.7777721780775333
2010,MI,2.668102088795268
2011,MI,2.978650254091124
2012,MI,1.9088103316168743
2013,MI,1.112700249225993
2014,MI,2.6198727080330526
2015,MI,1.0
2016,MI,1.0
2017,MI,1.0
1978,MN,1.0
1979,MN,7.104087401704628
1980,MN,6.218365707
1981,MN,6.716422449786729
1982,MN,4.345013113443747
1983,MN,1.581808524676883
1984,MN,1.4456814040709818
1985,MN,2.335766547957901
1986,MN,1.0
1989,MN,2.1867515912805557
1990,MN,2.985819559655841
1991,MN,2.869601225868515
1992,MN,2.6648383327046092
1993,MN,3.1311696925032932
1994,MN,1.0136273433925784
1995,MN,1.7192482653730647
1996,MN,2.381513913783738
1997,MN,2.876243563780927
1998,MN,1.5783598455566348
1999,MN,2.744993221
2000,MN,3.1551224094212436
2001,MN,3.724010798370757
2002,MN,1.3607618064713516
